TCGA,Short-ID,OTTA-ID,FileNameOriginal,MOL-SUBTYPE-NAME (published)
OV_TCGA_AGARS_TCGA_23_1026_01.CEL.gz,23-1026,TLAX00151,20151214_OTTA-141-USC-LH_TLAX00151_08.RCC,C4-DIF
OV_TCGA_GHYLL_TCGA_36_1568_01.CEL.gz,36-1568,TVAN20589,20150717_OTTA-059-VAN-SH_TVAN20589_08.RCC,C4-DIF
OV_TCGA_GHYLL_TCGA_36_1570_01.CEL.gz,36-1570,TVAN20656,20150717_OTTA-060-VAN-LH_TVAN20656_09.RCC,C4-DIF
OV_TCGA_GHYLL_TCGA_36_1571_01.CEL.gz,36-1571,TVAN20601,20150717_OTTA-059-VAN-SH_TVAN20601_09.RCC,C5-PRO
OV_TCGA_GHYLL_TCGA_36_1574_01.CEL.gz,36-1574,TVAN20583,20150717_OTTA-059-VAN-SH_TVAN20583_07.RCC,C2-IMM
OV_TCGA_GHYLL_TCGA_36_1576_01.CEL.gz,36-1576,TVAN20544,20150715_OTTA-058-VAN-LH_TVAN20544_07.RCC,C1-MES
OV_TCGA_GHYLL_TCGA_36_1578_01.CEL.gz,36-1578,TVAN20619,20150717_OTTA-059-VAN-SH_TVAN20619_11.RCC,C2-IMM
OV_TCGA_GHYLL_TCGA_36_1580_01.CEL.gz,36-1580,TVAN20666,20150717_OTTA-060-VAN-LH_TVAN20666_10.RCC,C1-MES
OV_TCGA_GHYLL_TCGA_36_1581_01.CEL.gz,36-1581,TVAN20681,20150717_OTTA-060-VAN-LH_TVAN20681_12.RCC,C2-IMM
OV_TCGA_IDYLS_TCGA_36_2529_01.CEL.gz,36-2529,TVAN20686,20150721_OTTA-061-VAN-SH_TVAN20686_08.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2530_01.CEL.gz,36-2530,TVAN20724,20150721_OTTA-061-VAN-SH_TVAN20724_12.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2532_01.CEL.gz,36-2532,TVAN20744,20151231_OTTA-187-VAN-SH_TVAN20744_08.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2533_01.CEL.gz,36-2533,TVAN20763,20150721_OTTA-062-VAN-LH_TVAN20763_12.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2534_01.CEL.gz,36-2534,TVAN20790,20150727_OTTA-063-VAN-SH_TVAN20790_07.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2537_01.CEL.gz,36-2537,TVAN20853,20141023_OTTA-007-VAN-SH_TVAN20853_12.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2542_01.CEL.gz,36-2542,TVAN20933,20151208_OTTA-173-VAN-SH_TVAN20933_08.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2544_01.CEL.gz,36-2544,TVAN20946,20151208_OTTA-173-VAN-SH_TVAN20946_09.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2545_01.CEL.gz,36-2545,TVAN20950,20150727_OTTA-063-VAN-SH_TVAN20950_08.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2547_01.CEL.gz,36-2547,TVAN20959,20151208_OTTA-173-VAN-SH_TVAN20959_11.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2551_01.CEL.gz,36-2551,TVAN21057,20150727_OTTA-063-VAN-SH_TVAN21057_12.RCC,n/a
OV_TCGA_IDYLS_TCGA_36_2552_01.CEL.gz,36-2552,TVAN21101,20151208_OTTA-174-VAN-LH_TVAN21101_04.RCC,n/a
OV_TCGA_LENOS_TCGA_23_1029_01.CEL.gz,23-1029,TLAX00219,20151216_OTTA-145-USC-LH_TLAX00219_11.RCC,C4-DIF
OV_TCGA_LENOS_TCGA_23_1114_01.CEL.gz,23-1114,TLAX00295,20151210_OTTA-137-USC-LH_TLAX00295_09.RCC,C5-PRO